City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,himatnagar,23.59893,72.96602,305.88,15,1,5.52,IN,1710567832
113,okhotsk,59.362,143.21468,269.23,94,100,6.78,RU,1710567832
114,la passe,-4.34808,55.83269,300.83,79,76,6.01,SC,1710567833
115,swift current,50.28337,-107.80135,274.6,80,0,3.6,CA,1710567833
116,leua,-11.65,20.45,292.1,92,100,1.44,AO,1710567834
117,ajjampur,13.72794,76.0068,304.18,37,70,2.64,IN,1710567835
118,ilulissat,69.21981,-51.09861,254.31,84,53,1.54,GL,1710567835
119,lakhdenpokh'ya,61.51981,30.19917,278.01,90,100,6.45,RU,1710567836
120,pangody,65.85002,74.48593,271.13,91,99,7.06,RU,1710567836
121,egilsstadir,65.26687,-14.39485,272.1,86,75,2.57,IS,1710567837
122,kharabali,47.41958,47.25678,277.7,61,91,7.36,RU,1710567838
123,olonkinbyen,70.9221,-8.7187,259.55,68,100,5.9,SJ,1710567839
124,tazacorte,28.64186,-17.93394,290.53,72,100,4.12,ES,1710567839
125,pahrump,36.20829,-115.98391,281.18,86,94,1.07,US,1710567627
126,utrik,11.22778,169.84739,299.57,74,100,7.33,MH,1710567840
127,khandyga,62.65333,135.5667,256.56,84,100,0.83,RU,1710567841
128,tarauaca,-8.16139,-70.76556,297.06,92,100,1.03,BR,1710567814
129,fortuna,40.59819,-124.15728,283.34,83,0,0.0,US,1710567842
130,chadron,42.82942,-102.99991,277.57,78,0,3.13,US,1710567843
131,porto velho,-8.76194,-63.90389,299.18,94,75,1.03,BR,1710567842
132,katsuren-haebaru,26.33294,127.87403,297.1,61,75,5.14,JP,1710567845
133,phan rang-thap cham,11.56432,108.98858,305.56,44,89,6.88,VN,1710567845
134,san antonio de pale,-1.4068,5.63178,301.33,75,88,2.1,GQ,1710567846
135,kandira,41.07,30.15262,281.21,85,84,0.23,TR,1710567846
136,ebon,4.58199,168.69636,301.0,83,38,8.11,MH,1710567847
137,buka,-5.43261,154.67098,298.33,92,100,2.01,PG,1710567848
138,warragul,-38.15912,145.93118,301.92,28,0,2.39,AU,1710567848
139,qa'en,33.72654,59.18439,289.47,25,99,1.88,IR,1710567849
140,saint-pierre,46.77914,-56.1773,272.92,93,100,2.57,PM,1710567849
141,taiynsha,53.84796,69.76773,270.45,77,68,8.68,KZ,1710567850
142,glace bay,46.19695,-59.95698,273.65,96,100,1.03,CA,1710567851
143,st. john's,47.56494,-52.70931,273.13,92,100,5.66,CA,1710567851
144,port lincoln,-34.72625,135.87442,296.75,61,10,4.37,AU,1710567852
145,at taraf,25.36232,49.72757,295.44,29,99,5.42,SA,1710567852
146,talnakh,69.4865,88.3972,256.6,89,97,6.33,RU,1710567853
147,minas de marcona,-15.21194,-75.11028,291.41,86,100,3.11,PE,1710567854
148,puerto baquerizo moreno,-0.90172,-89.61021,300.5,79,99,2.2,EC,1710567854
149,nar'yan-mar,67.63869,53.00371,263.76,95,98,1.79,RU,1710567855
150,newman,-23.35644,119.73553,309.05,25,0,7.73,AU,1710567855
151,sittwe,20.14624,92.89835,302.9,52,14,5.18,MM,1710567856
152,urmary,55.67894,47.94396,268.62,88,11,4.14,RU,1710567857
153,at taj,24.20487,23.2857,295.08,15,68,5.68,LY,1710567799
154,walvis bay,-22.9575,14.50528,289.68,88,100,1.54,NA,1710567858
155,mata-utu,-13.28163,-176.17453,302.83,70,98,2.77,WF,1710567858
156,botro,7.85249,-5.31063,299.86,77,79,1.97,CI,1710567859
157,vernon,50.0261,-126.36157,277.6,92,78,1.69,CA,1710567860
158,antofagasta,-23.65236,-70.3954,290.53,87,10,0.83,CL,1710567860
159,invercargill,-46.4,168.35,283.72,94,100,4.92,NZ,1710567861
160,iskateley,67.68026,53.15117,263.72,95,98,1.79,RU,1710567861
161,oriximina,-1.76556,-55.86611,296.73,96,99,1.99,BR,1710567862
162,port elizabeth,-33.96109,25.61494,294.26,73,0,8.23,ZA,1710567863
163,sao caetano de odivelas,-0.75,-48.02,297.82,93,100,2.69,BR,1710567863
164,kuta,-8.72332,115.17234,305.12,66,20,8.94,ID,1710567864
165,sabang,5.88969,95.31644,301.87,69,84,5.05,ID,1710567864
166,kourou,5.16281,-52.64265,301.16,85,53,5.02,GF,1710567865
167,ta`u,-14.23361,-169.51444,302.08,73,99,2.76,AS,1710567866
168,puerto aysen,-45.40303,-72.69184,280.15,98,100,2.43,CL,1710567867
169,enewetak,11.34735,162.33733,299.91,77,41,3.65,MH,1710567867
170,ribeira grande,38.51667,-28.7,289.69,75,32,8.94,PT,1710567868
171,puerto san carlos,24.78874,-112.10504,289.75,79,55,3.23,MX,1710567869
172,pacific grove,36.61774,-121.91662,285.97,60,0,1.54,US,1710567869
173,olyokminsk,60.3743,120.4203,266.33,75,99,2.01,RU,1710567870
174,buala,-8.14497,159.59212,300.25,86,100,2.73,SB,1710567870
175,aqsay,51.1681,52.99782,268.15,85,82,3.79,KZ,1710567871
176,coquimbo,-29.95332,-71.33947,287.08,100,0,0.51,CL,1710567871
177,prilep,41.34514,21.55504,279.73,75,34,0.85,MK,1710567872
178,nuuk,64.18347,-51.72157,267.49,68,34,1.03,GL,1710567873
179,haiku-pauwela,20.92187,-156.30508,291.76,94,100,5.66,US,1710567873
180,tanabe,33.73333,135.36667,290.71,48,0,5.66,JP,1710567874
181,kristiansund,63.11045,7.72795,275.28,51,100,5.66,NO,1710567874
182,sosnovka,53.23593,41.36859,269.43,87,67,2.4,RU,1710567875
183,hami,42.83393,93.50601,280.64,25,99,1.88,CN,1710567876
184,axim,4.86641,-2.24181,299.85,88,28,1.6,GH,1710567876
185,peraiyur,9.73579,77.78955,306.95,39,11,2.72,IN,1710567877
186,mareeba,-16.99096,145.42306,302.83,73,98,3.13,AU,1710567877
187,okha,53.58991,142.95313,262.97,87,100,11.1,RU,1710567878
188,geraldton,-28.77897,114.61459,308.29,24,15,9.26,AU,1710567879
189,essaouira,31.5125,-9.77,293.87,42,0,2.57,MA,1710567879
190,broome,-17.95538,122.23922,302.16,79,100,3.6,AU,1710567880
191,ushuaia,-54.81084,-68.31591,275.29,80,0,1.03,AR,1710567881
192,inarajan village,13.27363,144.74845,304.69,78,22,6.66,GU,1710567881
193,prado,-17.34111,-39.22083,297.99,92,62,1.06,BR,1710567882
194,valparaiso,22.77104,-103.56991,286.25,31,4,0.35,MX,1710567882
195,nemuro,43.32361,145.575,273.25,58,37,5.79,JP,1710567883
196,sao gabriel da cachoeira,-0.1181,-67.08527,297.47,97,100,0.99,BR,1710567884
197,hasaki,35.73333,140.83333,292.2,48,0,5.41,JP,1710567884
198,college,64.85694,-147.80278,261.12,61,20,5.14,US,1710567885
199,pariaman,-0.61898,100.11997,303.18,66,78,2.91,ID,1710567885
200,macusani,-14.08333,-70.43333,276.26,81,100,0.61,PE,1710567886
201,ciudad lazaro cardenas,17.97066,-102.22124,294.72,89,17,1.27,MX,1710567886
202,siverek,37.75503,39.31667,282.09,71,17,1.0,TR,1710567887
203,lautaro,-38.53066,-72.43652,284.37,91,41,1.49,CL,1710567888
204,kharp,66.80139,65.80806,264.96,83,100,6.52,RU,1710567888
205,tarakan,3.31332,117.59152,301.16,73,61,3.06,ID,1710567889
206,saranac lake,44.3295,-74.13127,275.94,91,100,1.54,US,1710567889
207,meadow lake,54.13348,-108.43471,271.45,82,98,3.17,CA,1710567890
208,yirol,6.5525,30.49806,306.71,28,39,3.62,SS,1710567891
209,revda,67.9371,34.56149,265.83,93,100,2.7,RU,1710567891
210,isla vista,34.41333,-119.86097,287.29,74,0,2.06,US,1710567870
211,sitka,57.05315,-135.33088,282.09,76,100,5.14,US,1710567892
212,idri,27.44707,13.05173,285.44,56,0,3.01,LY,1710567893
213,mitsamiouli,-11.38472,43.28444,302.38,68,20,1.23,KM,1710567894
214,popondetta,-8.76536,148.23252,299.75,94,100,1.31,PG,1710567894
215,pokachi,61.71982,75.36827,273.45,99,100,6.77,RU,1710567664
216,kingston,-29.05459,167.96628,295.38,64,75,6.69,NF,1710567895
217,hithadhoo,-0.6,73.08333,301.6,74,12,4.31,MV,1710567896
218,yoichi,43.20389,140.77028,276.54,63,11,7.23,JP,1710567896
219,remire-montjoly,4.91667,-52.26667,301.17,78,75,4.63,GF,1710567897
220,labrador city,52.94626,-66.91137,264.1,80,100,4.02,CA,1710567898
221,tralee,52.27042,-9.70264,281.57,90,100,4.22,IE,1710567898
222,tatahuicapan,18.24621,-94.76124,297.46,66,1,1.25,MX,1710567899
223,maloye ganyushkino,46.6,49.26667,277.54,54,99,8.88,KZ,1710567900
224,we,-20.91687,167.26461,298.93,88,100,5.42,NC,1710567900
225,namdrik,5.59944,168.10282,301.12,82,44,8.37,MH,1710567901
226,amga,60.90009,131.97882,261.24,77,100,2.46,RU,1710567901
227,colon,8.03125,-72.26053,296.92,76,72,1.3,VE,1710567902
228,cannonvale,-20.27681,148.69759,301.1,69,81,9.06,AU,1710567903
229,macherla,16.47635,79.43533,307.96,31,29,5.99,IN,1710567904
230,ballesteros,18.4126,121.5152,301.74,68,19,6.64,PH,1710567696
231,neryungri,56.66637,124.63825,262.27,71,100,3.01,RU,1710567905
232,mount pearl,47.51659,-52.78135,272.67,92,100,5.66,CA,1710567906
233,vorgashor,67.58355,63.79399,262.31,93,100,5.15,RU,1710567906
234,san patricio,19.22534,-104.70447,293.92,81,6,2.12,MX,1710567907
235,kuala terengganu,5.3302,103.1408,302.12,74,20,2.68,MY,1710567907
236,auki,-8.76778,160.69778,300.71,87,100,2.57,SB,1710567908
237,colonia,9.51638,138.12167,303.33,70,75,3.6,FM,1710567909
238,nkurenkuru,-17.61667,18.6,294.14,83,100,0.97,AO,1710567909
239,greymouth,-42.46667,171.2,285.67,66,99,2.67,NZ,1710567910
240,dalandzadgad,43.57083,104.425,276.43,15,1,3.57,MN,1710567910
241,gurupi,-11.72917,-49.06861,300.15,68,100,0.98,BR,1710567911
242,ust'-kulom,61.68636,53.6902,274.16,100,100,3.55,RU,1710567912
243,radomsko,51.06713,19.44477,282.18,84,100,3.98,PL,1710567912
244,ubari,26.59034,12.77511,284.91,56,0,2.41,LY,1710567913
245,hawaiian paradise park,19.59333,-154.97306,294.28,98,100,3.09,US,1710567913
246,zapolyarnyy,69.41541,30.81355,261.75,100,100,2.01,RU,1710567914
247,cam ranh,11.92144,109.15913,304.13,62,20,3.6,VN,1710567915
248,isangel,-19.54167,169.28167,298.89,85,100,2.79,VU,1710567915
249,champerico,14.29337,-91.91214,300.29,74,10,3.07,GT,1710567916
250,pucallpa,-8.37915,-74.55387,299.17,94,40,2.06,PE,1710567778
251,island harbour,18.25601,-63.0102,299.09,78,90,9.74,AI,1710567917
252,suai,-9.31286,125.25648,305.53,56,67,2.23,TL,1710567917
253,keflavik,64.00492,-22.56242,276.39,87,100,3.6,IS,1710567918
254,beli,7.85868,10.97187,301.95,47,78,0.2,NG,1710567919
255,puerto san jose,13.9274,-90.82166,299.27,75,10,2.44,GT,1710567919
256,hamilton,32.2949,-64.78303,290.26,85,20,6.69,BM,1710567920
257,caldas de reis,42.60473,-8.6423,286.61,94,100,1.21,ES,1710567920
258,yuzhno-kurilsk,44.02734,145.86146,270.31,92,23,6.86,RU,1710567921
